file_name,x,y,z,node_x,line_id,point_id,degree_x,vol_cc_x,avg_PK_Of_element_x,element_connectivity_x,Unnamed: 0_y,cc_length_(um),cc_vol_from_img_(um3),branches,nodes,edges,cc_average_degree_excludeFreeEnds,cc_max_PK,cc_average_connectivity,diameter,element_length_(um),element_average_width,element_Volume_Voxel,x_x,y_x,z_x,width_(um),x_pixel,y_pixel,z_pixel,distance,x_y,y_y,z_y,node_y,degree_y,cc_y,vol_cc_y,avg_PK_Of_element_y,element_connectivity_y,coeff_of_variance_cc,coeff_of_variance_line_id,density,pathLength,clustering_coefficient,matching_index,cc_center_x,cc_center_y,cc_center_z,center_x,center_y,center_z,distance_to_center,order,Angle_Flag,degree_distribution_0,degree_distribution_1,degree_distribution_2,degree_distribution_3,degree_distribution_4,degree_distribution_5,degree_distribution_6,degree_distribution_7,degree_distribution_8,degree_distribution_9,degree_distribution_10,degree_distribution_11,cell_group
Tol1-3_Subset_94.tif,17.888,13,2,545,36,14,1,0.38938,1,1,3980,1.62039,0.38938,1,2,1,0,2,0,0.553136226,1.62037777,0.243683333,0.394859056,17.888,13,2,0.13535,172,159,4,14.17761672,17.888,13,2,545,1,94,0.38938,1,1,48.62838775,46.61694517,1,1,0,0,18.356,12.376,2,18.356,12.376,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_107.tif,15.6,12.792,2,547,10,4,1,0.15142,1,1,4168,0.66795,0.15142,1,2,1,0,2,0,0.537247871,0.667947047,0.285172,0.190479795,15.6,12.792,2,0.23466,150,161,4,12.18533217,15.6,12.792,2,547,1,107,0.15142,1,1,53.47720357,58.77520375,1,1,0,0,15.548,13,1.75,15.548,13,1.75,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_108.tif,15.808,12.376,2,550,37,4,1,0.10816,1,1,4173,0.416,0.10816,1,2,1,0,2,0,0.575362739,0.416,0.180968,0.075282688,15.808,12.376,2,0.15445,152,165,4,12.55776859,15.808,12.376,2,550,1,108,0.10816,1,1,50.01287539,57.57032671,1,1,0,0,15.808,12.168,2,15.808,12.168,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_96.tif,14.976,11.544,2,555,33,10,1,1.71434,2,0.5,4010,6.53214,1.71434,3,4,3,0.75,3,1.333333333,0.578063831,1.225543343,0.255504545,0.313131895,14.976,11.544,2,0.1665,144,173,4,12.26495821,14.976,11.544,2,555,1,96,1.71434,2,0.5,51.6053753,48.93021782,0.5,1.5,0,0.5,14.600825,10.29793,1.75,15.09669,10.972,2,0.873357008,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_98.tif,12.48,11.544,2,556,7,12,1,0.52998,1,1,4084,1.72535,0.52998,1,2,1,0,2,0,0.625383179,1.725348306,0.271460769,0.468364378,12.48,11.544,2,0.2827,120,173,4,10.28497701,12.48,11.544,2,556,1,98,0.52998,1,1,64.48906079,55.50434897,1,1,0,0,11.977165,11.128,1.75,11.977165,11.128,1.75,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_110.tif,13.416,11.44,2,557,6,8,1,0.18387,1,1,4186,1.05991,0.18387,1,2,1,0,2,0,0.469976348,1.059911318,0.229264444,0.24299998,13.416,11.44,2,0.16885,129,174,4,11.06612055,13.416,11.44,2,557,1,110,0.18387,1,1,49.75438696,50.75289228,1,1,0,0,13.52,11.024,1.75,13.52,11.024,1.75,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_109.tif,16.64,11.336,2,558,9,3,1,0.15142,1,1,4177,0.60991,0.15142,1,2,1,0,2,0,0.562229725,0.609910935,0.2942975,0.179495263,16.64,11.336,2,0.34731,160,175,4,13.78148149,16.64,11.336,2,558,1,109,0.15142,1,1,50.38566282,217.984691,1,1,0,0,16.588,11.492,1.75,16.588,11.492,1.75,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_97.tif,17.992,11.232,2,559,34,22,1,0.96262,1,1,4071,2.54706,0.96262,1,2,1,0,2,0,0.693685972,2.547061168,0.284165652,0.723787298,17.992,11.232,2,0.34173,173,176,4,15.00847387,17.992,11.232,2,559,1,97,0.96262,1,1,54.09422013,50.15448031,1,1,0,0,16.848,10.87003,2,16.848,10.87003,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_111.tif,10.816,11.024,2,560,4,11,1,0.31366,1,1,4198,1.4249,0.31366,1,2,1,0,2,0,0.529410359,1.424894273,0.240020833,0.342004311,10.816,11.024,2,0.12944,104,178,4,9.49368211,10.816,11.024,2,560,1,111,0.31366,1,1,50.52558707,55.92742927,1,1,0,0,10.831135,10.452,1.75,10.831135,10.452,1.75,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_112.tif,11.336,10.4,2,564,5,3,1,0.09194,1,1,4202,0.6235,0.09194,1,2,1,0,2,0,0.43330039,0.62349735,0.2471125,0.154073989,11.336,10.4,2,0.20318,109,184,4,10.29653845,11.336,10.4,2,564,1,112,0.09194,1,1,46.76333106,88.47559039,1,1,0,0,11.370835,10.244,1.75,11.370835,10.244,1.75,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_113.tif,11.128,9.464,2,566,2,8,1,0.22173,1,1,4211,1.21688,0.22173,1,2,1,0,2,0,0.481663138,1.216879354,0.236247778,0.287485043,11.128,9.464,2,0.14317,107,193,4,10.90018495,11.128,9.464,2,566,1,113,0.22173,1,1,46.28812176,53.49092328,1,1,0,0,11.44,9.048,1.75,11.44,9.048,1.75,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_114.tif,14.248,8.736,2,568,25,12,1,0.42182,1,1,4224,1.34403,0.42182,1,2,1,0,2,0,0.632141295,1.344029314,0.261025385,0.350825769,14.248,8.736,2,0.04669,137,200,4,13.46790971,14.248,8.736,2,568,1,114,0.42182,1,1,49.74342215,53.30106773,1,1,0,0,14.144205,8.112,2,14.144205,8.112,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_101.tif,19.448,8.216,2,569,28,5,1,0.24336,1,1,4102,0.60122,0.24336,1,2,1,0,2,0,0.717898338,0.601219213,0.281923333,0.169497725,19.448,8.216,2,0.24483,187,205,4,17.80345899,19.448,8.216,2,569,1,101,0.24336,1,1,56.41424878,58.83902268,1,1,0,0,19.24,8.008,2,19.24,8.008,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_102.tif,21.944,7.904,2,571,27,5,1,0.16765,1,1,4108,0.55345,0.16765,1,2,1,0,2,0,0.621037239,0.55345259,0.204756667,0.113323107,21.944,7.904,2,0.34282,211,208,4,20.06796492,21.944,7.904,2,571,1,102,0.16765,1,1,44.59505004,86.62966519,1,1,0,0,21.736,7.748,2,21.736,7.748,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
Tol1-3_Subset_105.tif,22.36,4.68,2,580,17,3,1,0.11898,1,1,4158,0.312,0.11898,1,2,1,0,2,0,0.696810594,0.312,0.2395375,0.0747357,22.36,4.68,2,0.20932,215,239,4,22.22512488,22.36,4.68,2,580,1,105,0.11898,1,1,45.10838608,50.46109205,1,1,0,0,22.36,4.524,2,22.36,4.524,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_116.tif,16.848,7.176,1.5,597,1,2,1,0.09734,1,1,4230,0.208,0.09734,1,2,1,0,2,0,0.771914258,0.208,0.19853,0.04129424,16.848,7.176,1.5,0.12346,162,215,3,16.46416326,16.848,7.176,1.5,597,1,116,0.09734,1,1,55.93319871,53.22243512,1,1,0,0,16.744,7.176,1.5,16.744,7.176,1.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
